id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2022-01-12;40960.94387500
N;Norte;2022-01-13;6001.70487500
NE;Nordeste;2022-01-13;11622.98400000
S;Sul;2022-01-13;14619.48133333
SE;Sudeste/Centro-Oeste;2022-01-13;41782.56687500
N;Norte;2022-01-14;5858.81600000
NE;Nordeste;2022-01-14;11198.48062500
S;Sul;2022-01-14;15056.54241667
SE;Sudeste/Centro-Oeste;2022-01-14;42686.65008333
N;Norte;2022-01-15;5688.60600000
NE;Nordeste;2022-01-15;10654.61700000
S;Sul;2022-01-15;13438.65591667
SE;Sudeste/Centro-Oeste;2022-01-15;40398.09383333
N;Norte;2022-01-16;5513.00479167
NE;Nordeste;2022-01-16;10187.80116667
S;Sul;2022-01-16;11939.35920833
SE;Sudeste/Centro-Oeste;2022-01-16;37088.87625000
N;Norte;2022-01-17;5685.08279167
NE;Nordeste;2022-01-17;11166.44933333
S;Sul;2022-01-17;14839.69425000
SE;Sudeste/Centro-Oeste;2022-01-17;43035.03404167
N;Norte;2022-01-18;5647.71845833
NE;Nordeste;2022-01-18;11561.46766667
S;Sul;2022-01-18;15099.88958333
SE;Sudeste/Centro-Oeste;2022-01-18;44750.63133333
N;Norte;2022-01-19;5704.34125000
NE;Nordeste;2022-01-19;11772.13529167
S;Sul;2022-01-19;15639.57387500
SE;Sudeste/Centro-Oeste;2022-01-19;44666.74508333
N;Norte;2022-01-20;5934.15116667
NE;Nordeste;2022-01-20;11923.90395833
S;Sul;2022-01-20;16211.40595833
SE;Sudeste/Centro-Oeste;2022-01-20;44424.26700000
N;Norte;2022-01-21;6014.05291667
NE;Nordeste;2022-01-21;12056.08345833
S;Sul;2022-01-21;16082.35037500
SE;Sudeste/Centro-Oeste;2022-01-21;45185.93829167
N;Norte;2022-01-22;5744.53066667
NE;Nordeste;2022-01-22;11385.66000000
S;Sul;2022-01-22;14285.59350000
SE;Sudeste/Centro-Oeste;2022-01-22;42118.95354167
N;Norte;2022-01-23;5406.52437500
NE;Nordeste;2022-01-23;10739.73216667
S;Sul;2022-01-23;12979.07733333
SE;Sudeste/Centro-Oeste;2022-01-23;39502.17012500
N;Norte;2022-01-24;5813.93000000
NE;Nordeste;2022-01-24;11775.99987500
S;Sul;2022-01-24;16219.35104167
SE;Sudeste/Centro-Oeste;2022-01-24;45720.87500000
N;Norte;2022-01-25;5966.82687500
NE;Nordeste;2022-01-25;11924.79637500
S;Sul;2022-01-25;16176.98766667
SE;Sudeste/Centro-Oeste;2022-01-25;46369.54083333
N;Norte;2022-01-26;5833.20150000
NE;Nordeste;2022-01-26;11852.56745833
S;Sul;2022-01-26;16214.91404167
SE;Sudeste/Centro-Oeste;2022-01-26;46023.03504167
N;Norte;2022-01-27;5867.28329167
NE;Nordeste;2022-01-27;11640.86566667
S;Sul;2022-01-27;14837.46145833
SE;Sudeste/Centro-Oeste;2022-01-27;46114.84537500
N;Norte;2022-01-28;5737.69700000
NE;Nordeste;2022-01-28;11612.52341667
S;Sul;2022-01-28;13116.38170833
SE;Sudeste/Centro-Oeste;2022-01-28;45315.99229167
N;Norte;2022-01-29;5433.08945833
NE;Nordeste;2022-01-29;10794.30012500
S;Sul;2022-01-29;11266.18862500
SE;Sudeste/Centro-Oeste;2022-01-29;40549.37062500
N;Norte;2022-01-30;5093.00425000
NE;Nordeste;2022-01-30;10286.51845833
S;Sul;2022-01-30;9918.63116667
SE;Sudeste/Centro-Oeste;2022-01-30;36236.51954167
N;Norte;2022-01-31;5670.21512500
NE;Nordeste;2022-01-31;11569.05516667
S;Sul;2022-01-31;13359.83445833
SE;Sudeste/Centro-Oeste;2022-01-31;41717.44029167
N;Norte;2022-02-01;5936.60987500
NE;Nordeste;2022-02-01;11945.15204167
S;Sul;2022-02-01;14187.80062500
SE;Sudeste/Centro-Oeste;2022-02-01;42687.66995833
N;Norte;2022-02-02;6074.66570833
NE;Nordeste;2022-02-02;12123.80516667
S;Sul;2022-02-02;14646.09266667
SE;Sudeste/Centro-Oeste;2022-02-02;42921.06741667
N;Norte;2022-02-03;5991.46295833
NE;Nordeste;2022-02-03;12097.95004167
S;Sul;2022-02-03;15239.14554167
SE;Sudeste/Centro-Oeste;2022-02-03;43013.94662500
N;Norte;2022-02-04;5949.16470833
NE;Nordeste;2022-02-04;12000.96454167
S;Sul;2022-02-04;14777.66741667
SE;Sudeste/Centro-Oeste;2022-02-04;43901.27691667
N;Norte;2022-02-05;5688.32187500
NE;Nordeste;2022-02-05;11362.32062500
S;Sul;2022-02-05;12535.88879167
SE;Sudeste/Centro-Oeste;2022-02-05;41654.31833333
N;Norte;2022-02-06;5521.45645833
NE;Nordeste;2022-02-06;10773.14870833
S;Sul;2022-02-06;10282.30733333
SE;Sudeste/Centro-Oeste;2022-02-06;38076.18725000
N;Norte;2022-02-07;5959.12245833
NE;Nordeste;2022-02-07;12156.49879167
S;Sul;2022-02-07;12824.12950000
SE;Sudeste/Centro-Oeste;2022-02-07;43052.68158333
N;Norte;2022-02-08;6100.83054167
NE;Nordeste;2022-02-08;12318.48754167
S;Sul;2022-02-08;13427.25816667
SE;Sudeste/Centro-Oeste;2022-02-08;42445.03479167
N;Norte;2022-02-09;6143.04425000
NE;Nordeste;2022-02-09;12325.70400000
S;Sul;2022-02-09;13722.75116667
SE;Sudeste/Centro-Oeste;2022-02-09;41851.58912500
N;Norte;2022-02-10;6135.74754167
NE;Nordeste;2022-02-10;12346.71504167
S;Sul;2022-02-10;14135.50237500
SE;Sudeste/Centro-Oeste;2022-02-10;41889.90612500
N;Norte;2022-02-11;6006.98050000
NE;Nordeste;2022-02-11;12357.47358333
S;Sul;2022-02-11;14563.02679167
SE;Sudeste/Centro-Oeste;2022-02-11;42390.44683333
N;Norte;2022-02-12;5951.77083333
