id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;2024-01-14;12259.44625000
SE;Sudeste/Centro-Oeste;2024-01-14;39828.23358333
N;Norte;2024-01-15;7141.93862500
NE;Nordeste;2024-01-15;13194.50633333
S;Sul;2024-01-15;15929.24416667
SE;Sudeste/Centro-Oeste;2024-01-15;47654.45770833
N;Norte;2024-01-16;7395.84200000
NE;Nordeste;2024-01-16;13475.43412500
S;Sul;2024-01-16;16750.95583333
SE;Sudeste/Centro-Oeste;2024-01-16;50529.63791667
N;Norte;2024-01-17;7491.49095833
NE;Nordeste;2024-01-17;13518.59287500
S;Sul;2024-01-17;15124.07983333
SE;Sudeste/Centro-Oeste;2024-01-17;52372.05279167
N;Norte;2024-01-18;7632.63070833
NE;Nordeste;2024-01-18;13819.75150000
S;Sul;2024-01-18;15210.24862500
SE;Sudeste/Centro-Oeste;2024-01-18;52148.09675000
N;Norte;2024-01-19;7646.45195833
NE;Nordeste;2024-01-19;14004.02408333
S;Sul;2024-01-19;15729.93145833
SE;Sudeste/Centro-Oeste;2024-01-19;50865.76783333
N;Norte;2024-01-20;7480.74970833
NE;Nordeste;2024-01-20;13331.42579167
S;Sul;2024-01-20;13397.92066667
SE;Sudeste/Centro-Oeste;2024-01-20;46177.41875000
N;Norte;2024-01-21;7167.19075000
NE;Nordeste;2024-01-21;12633.48145833
S;Sul;2024-01-21;11189.19004167
SE;Sudeste/Centro-Oeste;2024-01-21;41566.55754167
N;Norte;2024-01-22;7761.66029167
NE;Nordeste;2024-01-22;13863.35375000
S;Sul;2024-01-22;13890.41725000
SE;Sudeste/Centro-Oeste;2024-01-22;46605.74795833
N;Norte;2024-01-23;7699.55041667
NE;Nordeste;2024-01-23;13774.12362500
S;Sul;2024-01-23;13685.83679167
SE;Sudeste/Centro-Oeste;2024-01-23;45079.24766667
N;Norte;2024-01-24;7711.86191667
NE;Nordeste;2024-01-24;13683.66466667
S;Sul;2024-01-24;13615.23191667
SE;Sudeste/Centro-Oeste;2024-01-24;43284.57195833
N;Norte;2024-01-25;7650.75745833
NE;Nordeste;2024-01-25;13468.11200000
S;Sul;2024-01-25;13522.85150000
SE;Sudeste/Centro-Oeste;2024-01-25;43757.73995833
N;Norte;2024-01-26;7429.98533333
NE;Nordeste;2024-01-26;13241.90825000
S;Sul;2024-01-26;13542.64075000
SE;Sudeste/Centro-Oeste;2024-01-26;43791.18370833
