id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2023-01-30;6349.95262500
NE;Nordeste;2023-01-30;11851.30508333
S;Sul;2023-01-30;14482.80787500
SE;Sudeste/Centro-Oeste;2023-01-30;42179.79375000
N;Norte;2023-01-31;6349.81662500
NE;Nordeste;2023-01-31;11976.76170833
S;Sul;2023-01-31;15156.73308333
SE;Sudeste/Centro-Oeste;2023-01-31;43443.82704167
N;Norte;2023-02-01;6339.07500000
NE;Nordeste;2023-02-01;11993.14170833
S;Sul;2023-02-01;15286.28491667
SE;Sudeste/Centro-Oeste;2023-02-01;43896.91879167
N;Norte;2023-02-02;6309.52425000
NE;Nordeste;2023-02-02;12160.05291667
S;Sul;2023-02-02;15305.78762500
SE;Sudeste/Centro-Oeste;2023-02-02;44497.70650000
N;Norte;2023-02-03;6517.10733333
NE;Nordeste;2023-02-03;11986.13787500
S;Sul;2023-02-03;14658.44108333
SE;Sudeste/Centro-Oeste;2023-02-03;44320.44812500
N;Norte;2023-02-04;6235.58595833
NE;Nordeste;2023-02-04;11530.50354167
S;Sul;2023-02-04;11707.59358333
SE;Sudeste/Centro-Oeste;2023-02-04;40809.01345833
N;Norte;2023-02-05;5855.59579167
NE;Nordeste;2023-02-05;11256.86529167
S;Sul;2023-02-05;10174.87441667
SE;Sudeste/Centro-Oeste;2023-02-05;37862.19741667
N;Norte;2023-02-06;6459.23183333
NE;Nordeste;2023-02-06;12077.92262500
S;Sul;2023-02-06;14085.89962500
SE;Sudeste/Centro-Oeste;2023-02-06;43894.65616667
N;Norte;2023-02-07;6429.65604167
NE;Nordeste;2023-02-07;11966.79212500
S;Sul;2023-02-07;14930.52370833
SE;Sudeste/Centro-Oeste;2023-02-07;44093.82450000
N;Norte;2023-02-08;6425.13658333
NE;Nordeste;2023-02-08;11949.96158333
S;Sul;2023-02-08;15314.20720833
SE;Sudeste/Centro-Oeste;2023-02-08;43903.00462500
N;Norte;2023-02-09;6554.72275000
NE;Nordeste;2023-02-09;12270.23454167
S;Sul;2023-02-09;15499.08520833
SE;Sudeste/Centro-Oeste;2023-02-09;44394.62470833
N;Norte;2023-02-10;6649.77191667
NE;Nordeste;2023-02-10;12329.42070833
S;Sul;2023-02-10;15296.64483333
SE;Sudeste/Centro-Oeste;2023-02-10;44638.84783333
N;Norte;2023-02-11;6318.97150000
NE;Nordeste;2023-02-11;11709.16441667
S;Sul;2023-02-11;12904.76675000
SE;Sudeste/Centro-Oeste;2023-02-11;40558.25266667
N;Norte;2023-02-12;6106.55212500
NE;Nordeste;2023-02-12;10912.91754167
S;Sul;2023-02-12;11632.39154167
SE;Sudeste/Centro-Oeste;2023-02-12;37128.52304167
N;Norte;2023-02-13;6732.71245833
NE;Nordeste;2023-02-13;12259.77391667
S;Sul;2023-02-13;15428.83604167
SE;Sudeste/Centro-Oeste;2023-02-13;43538.46820833
N;Norte;2023-02-14;6747.09483333
NE;Nordeste;2023-02-14;12405.95091667
S;Sul;2023-02-14;15922.07120833
SE;Sudeste/Centro-Oeste;2023-02-14;45120.92891667
N;Norte;2023-02-15;6791.43420833
NE;Nordeste;2023-02-15;12602.26258333
S;Sul;2023-02-15;14647.50425000
SE;Sudeste/Centro-Oeste;2023-02-15;45879.40412500
N;Norte;2023-02-16;6677.77020833
NE;Nordeste;2023-02-16;12679.46941667
S;Sul;2023-02-16;14428.67845833
SE;Sudeste/Centro-Oeste;2023-02-16;45660.12670833
N;Norte;2023-02-17;6706.58020833
NE;Nordeste;2023-02-17;12384.37358333
S;Sul;2023-02-17;13308.38320833
SE;Sudeste/Centro-Oeste;2023-02-17;45656.72691667
N;Norte;2023-02-18;6339.66879167
NE;Nordeste;2023-02-18;11484.82812500
S;Sul;2023-02-18;9799.65804167
SE;Sudeste/Centro-Oeste;2023-02-18;40271.77404167
N;Norte;2023-02-19;5980.73870833
NE;Nordeste;2023-02-19;10699.20900000
S;Sul;2023-02-19;8673.64466667
SE;Sudeste/Centro-Oeste;2023-02-19;35523.88162500
N;Norte;2023-02-20;6025.56941667
NE;Nordeste;2023-02-20;10902.38537500
S;Sul;2023-02-20;11576.17962500
SE;Sudeste/Centro-Oeste;2023-02-20;38635.65629167
N;Norte;2023-02-21;5986.96070833
NE;Nordeste;2023-02-21;10777.92512500
S;Sul;2023-02-21;11328.00245833
SE;Sudeste/Centro-Oeste;2023-02-21;39006.98304167
N;Norte;2023-02-22;6368.99237500
NE;Nordeste;2023-02-22;11645.76579167
S;Sul;2023-02-22;12580.84245833
SE;Sudeste/Centro-Oeste;2023-02-22;41906.70037500
N;Norte;2023-02-23;6758.15979167
NE;Nordeste;2023-02-23;12219.40387500
